Date	Time	Open	High	Low	Close	Volume
01/01/2022	00:00:00	3676.81	3707.12	3676.63	3698.25	1600.1884
01/01/2022	00:30:00	3697.96	3729.54	3694.83	3723.19	2205.6971
01/01/2022	01:00:00	3723.19	3748.43	3714.56	3737.22	1591.1027
01/01/2022	01:30:00	3737.8	3742.64	3723.11	3725.89	786.0122
01/01/2022	02:00:00	3725.16	3736.85	3723.22	3729.44	1064.4041
01/01/2022	02:30:00	3729.47	3735.59	3722.78	3728.97	631.4547
01/01/2022	03:00:00	3728.98	3736.36	3722.76	3729.02	883.3089
01/01/2022	03:30:00	3729.56	3732.24	3723.49	3724.03	1040.3754
01/01/2022	04:00:00	3724.36	3727.68	3706.09	3716.46	1936.3239
01/01/2022	04:30:00	3716.45	3722.22	3707.15	3708.47	872.1992
01/01/2022	05:00:00	3707.71	3757.45	3703.44	3750.52	1473.0039
01/01/2022	05:30:00	3750.82	3764.4	3728.91	3735.87	1463.8297
01/01/2022	06:00:00	3735.88	3742.2	3726.6	3728.33	721.1047
01/01/2022	06:30:00	3727.55	3731.45	3708.92	3712.57	670.2045
01/01/2022	07:00:00	3712.57	3715.73	3701.72	3708.65	671.2852
01/01/2022	07:30:00	3708.65	3725.73	3704.76	3715.76	917.0475
01/01/2022	08:00:00	3715.78	3725.76	3709.4	3722.18	560.1736
01/01/2022	08:30:00	3722.18	3733.11	3716.53	3721.84	648.2493
01/01/2022	09:00:00	3721.83	3729.99	3717.03	3723.36	406.5745
01/01/2022	09:30:00	3723.0	3726.46	3709.9	3718.75	566.4022
01/01/2022	10:00:00	3718.75	3731.74	3688.88	3691.46	1739.4685
01/01/2022	10:30:00	3691.82	3707.62	3673.53	3691.51	1468.5174
01/01/2022	11:00:00	3691.51	3711.85	3691.42	3706.82	690.8082
01/01/2022	11:30:00	3707.27	3709.52	3693.22	3694.14	642.0367
01/01/2022	12:00:00	3694.01	3709.0	3694.01	3700.9	544.3295
01/01/2022	12:30:00	3700.9	3718.35	3700.89	3715.72	640.4689
01/01/2022	13:00:00	3716.2	3724.92	3710.01	3715.1	773.7197
01/01/2022	13:30:00	3714.65	3721.14	3706.84	3710.5	513.9839
01/01/2022	14:00:00	3710.5	3713.88	3705.57	3710.45	581.3673
01/01/2022	14:30:00	3710.46	3712.01	3693.58	3697.7	887.0632
01/01/2022	15:00:00	3697.73	3713.84	3693.47	3713.6	506.8372
